OrderId,CustomerId,ReadyDateTimeInfo,LocationInfo,DeliveryDateTime,EmployeeIdOfDriver,IsOffSite,ManagerNote,NumPeople,PricePerPerson,PriceAdjust,DeliveryFee,MiscFee,ServiceFeePercent,TaxPriceAdjust,NumPizzaPeople,NumSaladPeople,NumDessertPeople,PricePerPizzaPerson,PricePerSaladPerson,PricePerDessertPerson,DoughCount,DressingCount,DessertCount,KitchenPrepNote,DessertNote,LSENote
11768,23,PETE! deliver gvl garden club,1350 nw 75 street,2020-10-15 16:35:12.6950000,NULL,0,,0.00,0.00,0.00,0.00,0.00,18.00,0,20.00,20.00,20.00,8.50,2.50,2.00,NULL,NULL,NULL,NULL,NULL,NULL
12082,23,info field,,2020-10-12 11:21:26.1736018,NULL,0,,0.00,0.00,0.00,0.00,0.00,18.00,0,20.00,20.00,0.00,8.50,2.50,2.00,NULL,NULL,NULL,NULL,NULL,NULL
12083,23,test,location,2020-10-12 11:40:03.5813954,NULL,0,,0.00,0.00,0.00,0.00,0.00,18.00,0,20.00,20.00,0.00,8.50,2.50,2.00,NULL,NULL,NULL,NULL,NULL,NULL
12084,23,info,location,2020-10-12 12:13:42.8942110,NULL,0,,0.00,0.00,0.00,0.00,0.00,18.00,0,20.00,20.00,0.00,8.50,2.50,2.00,NULL,NULL,NULL,NULL,NULL,NULL
13446,23,test driver,test location,2020-10-18 13:53:23.8526285,NULL,0,,0.00,0.00,0.00,0.00,0.00,18.00,0,20.00,20.00,0.00,8.50,2.50,2.00,5,6,7,test prep notes let's make this rather long so I can test if goes off of page,,NULL
15914,24,Pete,2504 NW 24th Terr,2020-11-03 18:40:57.9330000,NULL,0,,0.00,0.00,0.00,0.00,0.00,18.00,0,20.00,20.00,0.00,8.50,2.50,2.00,5,2,,Salads in a tray,No desserts,NULL
18185,24,Pete,1111 NW 55 St/Brentwood,2020-11-18 11:25:47.3120000,NULL,0,,0.00,0.00,0.00,0.00,0.00,18.00,0,22.00,22.00,0.00,8.50,2.50,2.00,6,2,,,,NULL
18572,23,,,2020-11-15 11:51:20.7844046,NULL,0,,0.00,0.00,0.00,0.00,0.00,18.00,0,20.00,20.00,0.00,8.50,2.50,2.00,5,2,10,prep note,dessert note,NULL
22133,25,Pete/Gracy,1111 W U - Hub Lobby,2020-12-11 11:25:38.3640000,NULL,0,,0.00,0.00,0.00,0.00,0.00,18.00,0,61.76,0.00,0.00,8.50,2.50,2.00,22,0,0,11 cheese and 11 RONI cut into 12s,PIZZA ONLY                                       NO SALAD - NO DESSERT,NULL
29420,26,PETE,2390 NW 18 Place,2021-01-29 18:15:26.7960000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,33.00,27.00,0.00,8.50,2.50,2.00,12,5,0,,NO DESSERT,NULL
