MenuItemId,DisplayName,ShortName,DisplaySequence,BasePrice,MenuItemCategoryId,RevenueCategoryId,Taxable,Alcohol,IsActive,IsAutoSent,TaxIncludedInPrice,ClassNameInternalUse,Color,PrinterId,Slice,CateringNoCost,LunchSpecial,AllowSizeChangeTo
1,Slice,"Slice     ",1.00,4.25,7,1,1,0,1,0,0,Pizza,Orange,6,1,0,0,1
2,"Medium ","Med       ",2.00,16.00,7,1,1,0,1,0,0,Pizza,Orange,6,0,1,0,1
3,Large,"Lg        ",3.00,20.00,7,1,1,0,1,0,0,Pizza,Orange,6,0,1,0,1
4,SATCHPAN SLICE,Slice,0.00,4.90,21,1,1,0,1,0,0,Pizza,Orange,6,1,0,0,0
5,SatchPan,"SatchPan  ",9.00,26.50,21,1,1,0,1,0,0,Pizza,Orange,6,0,1,0,1
7,MFP,"MFP       ",5.00,18.00,7,1,1,0,1,0,0,Pizza,Orange,6,0,1,0,1
8,Indy,"Indy      ",4.00,7.00,7,1,1,0,1,0,0,Pizza,Orange,6,0,0,0,1
9,Calzone,"Zone      ",8.00,13.00,8,1,1,0,1,0,0,Calzone,LightYellow,6,0,0,0,0
11,Calzone Steak And Cheese,"Zone      ",0.00,16.00,8,1,1,0,1,0,0,Calzone,LightYellow,6,0,0,0,0
12,Small Salad,Small Salad,11.00,10.00,9,1,1,0,1,0,0,Salad,LightGreen,7,0,1,0,0
13,Large Salad,Large Salad,12.00,18.00,9,1,1,0,1,0,0,Salad,LightGreen,7,0,1,0,0
15,Spec Salad,Special Salad,7.00,5.25,9,1,1,0,1,0,0,Salad,Pink,7,0,0,1,0
23,Cake Slice,"ChCake    ",1.00,6.00,10,1,1,0,1,0,0,Dessert,Tan,7,0,0,0,0
24,Brownie,"Brownie   ",2.00,4.00,10,1,1,0,1,0,0,Dessert,Tan,7,0,0,0,0
25,Vanilla Bonbon,"VBonbn   ",2.00,2.00,10,1,1,0,1,0,0,Dessert,Tan,7,0,0,0,0
