1,SatchPan Slice,0.00,0.00,SATCH PAN SLICE," SATCH PAN SLICE",0,0,0,0,1,0,0,0,0,1,0,1,6,0.00,1,1
3,Cheese Calzone,0.00,0.00,Cheese Calzone,Cheese Calzone,0,0,0,0,0,1,0,0,0,1,0,0,6,0.00,0,1
5,Steak & Cheese Calzone,0.10,0.10,SteakNCheese Calzone,Steak & Cheese Calzone,0,0,0,0,0,1,0,0,0,0,0,0,6,0.00,0,1
6,Major,1.00,7.00,MAJOR,MAJOR,0,0,0,0,1,1,0,0,0,0,0,0,9,0.00,1,1
7,Anchovies,5.00,37.00,Anchovies,Anchovies!,0,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
8,Artichoke Hearts,10.00,20.00,Artichokes,Arts,0,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
9,Bacon,15.00,15.00,Bacon,Bacon,0,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
10,Banana Peppers,20.00,36.00,Banana Peppers,Ban. Pprs.,0,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
11,Basil,25.00,40.00,Basil,BASIL,0,0,0,0,1,1,0,0,1,0,0,0,1,0.00,1,1
12,Beef,30.00,19.00,Beef,Beef,0,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
13,Black Olives,35.00,27.00,Black Olives,Blk. Olv.,1,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
14,Broccoli,40.00,20.50,Broccoli,Broc,0,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
15,Butter OK,45.00,51.00,Butter OK,Butter OK,0,0,0,0,1,1,0,1,0,1,0,0,7,0.00,0,1
16,Carrots (Pizza/Calzone),50.00,30.60,Carrots,Carrots,0,0,0,0,1,1,0,0,0,0,0,0,1,0.00,0,1
17,Cheese (Pizza),55.00,0.20,Cheese,Cheese,0,1,0,0,1,0,0,0,1,1,0,0,2,0.00,0,1
18,Crispy Cook,60.00,54.00,Crispy Cook,COOKED CRISPY,0,0,0,1,0,0,0,1,0,1,0,0,7,0.00,1,1
19,Cut into 12,65.00,55.00,Cut Into 12,CUT INTO 12,0,0,0,0,1,0,0,1,0,1,0,2,7,0.00,1,1
20,Follow UR Heart,83.00,11.00,Follow UR Heart,Follow UR Heart,0,0,0,0,1,1,0,0,0,0,0,0,3,0.00,1,1
21,Dressing On Side,75.00,0.00,Dressing O/S,D.O.S.,0,0,0,0,0,0,1,0,0,0,0,0,7,0.00,1,1
22,Extra Pizza Sauce on Pizza,80.00,5.00,Extra P Sauce OP,EXTRA P SAUCE ON PIE,0,0,0,0,1,0,0,1,0,1,0,0,4,1.50,1,1
23,Extra Pizza Sauce On Side,85.00,59.00,Extra P Sauce O/S,EXTRA P SAUCE O/S,0,0,0,0,1,1,0,1,0,1,0,2,4,1.50,0,1
24,"Feta ",90.00,30.30,Feta,Feta,0,0,0,0,1,1,1,0,1,0,0,0,1,0.00,0,1
25,Ham,115.00,18.00,Ham,Ham,0,0,0,0,1,1,1,0,1,0,0,0,1,0.00,0,1
27,Garlic,95.00,8.00,Garlic,Garlic,0,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
29,Green Olives,105.00,28.00,Green Olives,GOlives,0,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
30,Green Peppers,110.00,22.00,Green Peppers,Green PEPPERS,1,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
31,Jalapenos,120.00,34.00,Jalapenos,Jalap,0,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
32,Joiner,125.00,0.50,Joiner,JOINER,0,0,0,0,1,1,1,0,0,1,0,0,7,0.00,1,1
34,Kid Cook,130.00,52.00,Kid Cook,KID COOK,0,0,0,1,0,0,0,1,0,1,0,0,7,0.00,1,0
35,"Light Cook ",135.00,53.00,Light Cook,LIGHT COOK,0,0,0,1,0,0,0,1,0,1,0,0,7,0.00,1,1
36,Light Sauce,140.00,4.00,Light Sauce,LIGHT SAUCE,0,0,0,0,1,0,0,0,0,1,0,0,7,0.00,1,1
37,Meatballs,145.00,16.00,Meatballs,Meatballs,0,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
38,Mushrooms,150.00,14.00,Mushrooms,Mush,1,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
39,No Butter,155.00,50.00,No Butter,NO BUTTER,0,0,0,0,1,1,0,1,0,1,0,0,7,0.00,1,1
40,No Pizza Sauce,159.00,6.00,No Pizza Sauce,NO SAUCE,0,0,0,0,1,0,0,0,0,1,0,2,7,0.00,1,1
41,No Cut,155.50,56.00,No Cut,NO CUT,0,0,0,0,1,0,0,0,0,1,0,0,4,0.00,1,1
42,Out First,165.00,0.60,Out First,OUT FIRST,0,0,0,0,1,1,1,0,0,1,0,0,7,0.00,1,1
43,Pesto Instead of Pizza Sauce,170.00,1.00,Pesto Instead of P. Sauce,Pesto instead of P.Sauce,0,0,0,0,0,1,0,0,0,1,0,0,4,1.50,0,1
44,Pineapple,175.00,33.00,Pineapple,Pnapl,0,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
45,Red Onions (Pizza),176.00,23.00,Red Onions,Red-O,0,0,0,0,1,1,0,0,0,0,0,0,1,0.00,0,1
46,Ricotta Topping,185.00,39.00,Ricotta,Ric,0,0,0,0,1,0,0,0,1,0,0,0,1,0.00,0,1
47,Ricotta (Calzone),183.00,0.20,Ricotta,Ricotta,0,1,0,0,0,1,0,0,0,1,0,0,2,0.00,0,1
48,Roasted Red Pepper,195.00,32.00,RRP,RRP,0,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
49,Sausage,200.00,16.50,Sausage,Sausg,1,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
